# Gross National Product: Implicit Price Deflator (GNPDEF)
# SOURCE: https://fred.stlouisfed.org/series/GNPDEF
DATE,GNPDEF
1968-10-01,20.960
1969-01-01,21.177
1969-04-01,21.447
1969-07-01,21.749
1969-10-01,22.029
1970-01-01,22.339
1970-04-01,22.652
1970-07-01,22.838
1970-10-01,23.139
1971-01-01,23.493
1971-04-01,23.803
1971-07-01,24.045
1971-10-01,24.245
1972-01-01,24.619
1972-04-01,24.771
1972-07-01,25.003
1972-10-01,25.322
1973-01-01,25.617
1973-04-01,26.008
1973-07-01,26.505
1973-10-01,27.033
1974-01-01,27.545
1974-04-01,28.198
1974-07-01,29.015
1974-10-01,29.867
1975-01-01,30.547
1975-04-01,31.004
1975-07-01,31.558
1975-10-01,32.085
1976-01-01,32.421
1976-04-01,32.751
1976-07-01,33.176
1976-10-01,33.763
1977-01-01,34.306
1977-04-01,34.790
1977-07-01,35.219
1977-10-01,35.982
1978-01-01,36.518
1978-04-01,37.189
1978-07-01,37.811
1978-10-01,38.606
1979-01-01,39.296
1979-04-01,40.245
1979-07-01,41.104
1979-10-01,41.924
1980-01-01,42.796
1980-04-01,43.735
1980-07-01,44.741
1980-10-01,45.977
1981-01-01,47.128
1981-04-01,48.011
1981-07-01,48.877
1981-10-01,49.794
1982-01-01,50.489
1982-04-01,51.096
1982-07-01,51.832
1982-10-01,52.408
1983-01-01,52.833
1983-04-01,53.194
1983-07-01,53.751
1983-10-01,54.147
1984-01-01,54.724
1984-04-01,55.185
1984-07-01,55.631
1984-10-01,56.003
1985-01-01,56.644
1985-04-01,57.001
1985-07-01,57.330
1985-10-01,57.663
1986-01-01,57.943
1986-04-01,58.177
1986-07-01,58.418
1986-10-01,58.746
1987-01-01,59.180
1987-04-01,59.579
1987-07-01,60.013
1987-10-01,60.511
1988-01-01,60.986
1988-04-01,61.576
1988-07-01,62.302
1988-10-01,62.803
1989-01-01,63.495
1989-04-01,64.154
1989-07-01,64.620
1989-10-01,65.072
1990-01-01,65.793
1990-04-01,66.475
1990-07-01,67.073
1990-10-01,67.587
1991-01-01,68.265
1991-04-01,68.734
1991-07-01,69.239
1991-10-01,69.614
1992-01-01,69.912
1992-04-01,70.357
1992-07-01,70.690
1992-10-01,71.167
1993-01-01,71.572
1993-04-01,72.007
1993-07-01,72.439
1993-10-01,72.816
1994-01-01,73.167
1994-04-01,73.532
1994-07-01,73.931
1994-10-01,74.339
1995-01-01,74.769
1995-04-01,75.100
1995-07-01,75.458
1995-10-01,75.831
1996-01-01,76.242
1996-04-01,76.532
1996-07-01,76.748
1996-10-01,77.138
1997-01-01,77.616
1997-04-01,77.827
1997-07-01,78.104
1997-10-01,78.365
1998-01-01,78.493
1998-04-01,78.658
1998-07-01,78.954
1998-10-01,79.202
1999-01-01,79.599
1999-04-01,79.868
1999-07-01,80.157
1999-10-01,80.523
2000-01-01,81.138
2000-04-01,81.597
2000-07-01,82.125
2000-10-01,82.567
2001-01-01,83.087
2001-04-01,83.673
2001-07-01,83.948
2001-10-01,84.201
2002-01-01,84.471
2002-04-01,84.786
2002-07-01,85.165
2002-10-01,85.626
2003-01-01,86.155
2003-04-01,86.431
2003-07-01,86.909
2003-10-01,87.321
2004-01-01,88.083
2004-04-01,88.850
2004-07-01,89.398
2004-10-01,90.026
2005-01-01,90.861
2005-04-01,91.520
2005-07-01,92.378
2005-10-01,93.080
2006-01-01,93.810
2006-04-01,94.565
2006-07-01,95.224
2006-10-01,95.557
2007-01-01,96.631
2007-04-01,97.172
2007-07-01,97.510
2007-10-01,97.939
2008-01-01,98.502
2008-04-01,98.989
2008-07-01,99.674
2008-10-01,99.805
2009-01-01,100.056
2009-04-01,99.893
2009-07-01,99.876
2009-10-01,100.174
2010-01-01,100.640
2010-04-01,101.078
2010-07-01,101.538
2010-10-01,102.059
2011-01-01,102.519
2011-04-01,103.270
2011-07-01,103.892
2011-10-01,104.043
2012-01-01,104.593
2012-04-01,105.069
2012-07-01,105.629
2012-10-01,106.057
2013-01-01,106.473
2013-04-01,106.696
2013-07-01,107.209
2013-10-01,107.760
2014-01-01,108.241
2014-04-01,108.830
2014-07-01,109.283
2014-10-01,109.414
2015-01-01,109.405
2015-04-01,110.011
2015-07-01,110.344
2015-10-01,110.593
2016-01-01,110.714
2016-04-01,111.340
